1,2,3,4,5,6,7,8,yuyu
0.031,0.896,1.747,2.520,3.315,4.101,4.857,5.590,6.238
-0.037,0.809,1.715,2.559,3.320,4.114,4.857,5.521,6.248
0.028,0.745,1.723,2.488,3.358,4.076,4.872,5.501,6.319
0.083,0.816,1.742,2.462,3.364,4.064,4.807,5.592,6.248
0.012,0.907,1.698,2.533,3.285,4.095,4.927,5.630,6.309
-0.005,0.912,1.650,2.570,3.247,4.074,4.849,5.561,6.221
0.088,0.824,1.628,2.558,3.352,4.119,4.848,5.598,6.315
-0.014,0.845,1.692,2.568,3.394,4.077,4.834,5.632,6.224
0.034,0.884,1.751,2.537,3.389,4.082,4.917,5.629,6.207
0.074,0.912,1.637,2.517,3.297,4.199,4.876,5.599,6.219
0.043,0.827,1.700,2.503,3.344,4.141,4.915,5.583,6.190
0.048,0.854,1.660,2.483,3.377,4.077,4.864,5.603,6.271
-0.002,0.940,1.695,2.571,3.312,4.098,4.882,5.525,6.279
-0.003,0.817,1.655,2.544,3.287,4.073,4.838,5.596,6.224
0.032,0.785,1.656,2.509,3.266,4.074,4.834,5.601,6.270
0.016,0.875,1.707,2.538,3.385,4.077,4.865,5.588,6.239
-0.020,0.790,1.681,2.502,3.318,4.105,4.798,5.529,6.202
0.027,0.877,1.691,2.486,3.365,4.089,4.835,5.619,6.225
0.000,0.885,1.693,2.492,3.344,4.128,4.886,5.613,6.206
0.011,0.815,1.675,2.502,3.339,4.107,4.849,5.557,6.226
0.032,0.926,1.707,2.519,3.298,4.062,4.886,5.573,6.252
0.046,0.845,1.657,2.603,3.367,4.078,4.901,5.553,6.274
0.016,0.951,1.662,2.567,3.312,4.086,4.840,5.562,6.298
0.030,0.883,1.663,2.474,3.286,4.082,4.874,5.595,6.232
-0.039,0.874,1.715,2.461,3.298,4.094,4.757,5.684,6.244
0.046,0.863,1.736,2.542,3.340,4.167,4.878,5.572,6.193
-0.047,0.845,1.743,2.487,3.377,4.124,4.833,5.597,6.230
0.056,0.895,1.641,2.595,3.325,4.142,4.949,5.614,6.291
-0.024,0.908,1.669,2.517,3.329,4.203,4.834,5.513,6.262
0.023,0.786,1.686,2.527,3.345,4.103,4.818,5.580,6.255
-0.043,0.817,1.712,2.533,3.345,4.081,4.852,5.641,6.245
-0.025,0.850,1.625,2.519,3.301,4.102,4.775,5.641,6.277
0.007,0.901,1.632,2.498,3.341,4.133,4.871,5.594,6.260
0.026,0.859,1.714,2.557,3.298,4.077,4.935,5.586,6.262
0.011,0.886,1.733,2.503,3.343,4.132,4.892,5.552,6.239
0.052,0.797,1.681,2.486,3.287,4.122,4.868,5.528,6.279
0.055,0.880,1.747,2.507,3.309,4.144,4.861,5.544,6.279
0.046,0.858,1.657,2.491,3.341,4.111,4.875,5.569,6.287
0.010,0.884,1.747,2.515,3.307,4.024,4.824,5.591,6.191
0.004,0.854,1.711,2.493,3.336,4.156,4.869,5.633,6.227
-0.007,0.884,1.629,2.503,3.304,4.110,4.880,5.619,6.232
0.038,0.864,1.713,2.447,3.256,4.134,4.839,5.524,6.234
0.014,0.897,1.635,2.534,3.287,4.049,4.921,5.507,6.209
0.046,0.800,1.670,2.547,3.409,4.145,4.903,5.512,6.208
0.066,0.845,1.690,2.531,3.382,4.122,4.856,5.609,6.209
0.046,0.906,1.742,2.511,3.324,4.110,4.845,5.600,6.216
0.024,0.942,1.741,2.514,3.316,4.103,4.823,5.658,6.215
0.027,0.898,1.738,2.591,3.350,4.035,4.852,5.611,6.207
0.001,0.851,1.721,2.523,3.281,4.101,4.854,5.583,6.290
-0.034,0.862,1.697,2.436,3.374,4.123,4.930,5.596,6.267
0.002,0.898,1.747,2.498,3.337,4.114,4.900,5.591,6.200
0.021,0.836,1.754,2.523,3.304,4.115,4.841,5.518,6.245
0.015,0.909,1.747,2.524,3.384,4.086,4.794,5.539,6.255
0.016,0.867,1.696,2.486,3.407,4.145,4.888,5.525,6.182
0.056,0.820,1.685,2.483,3.366,4.096,4.796,5.555,6.240
0.009,0.844,1.665,2.508,3.298,4.141,4.868,5.594,6.244
-0.012,0.805,1.709,2.559,3.363,4.074,4.825,5.536,6.201
0.083,0.845,1.657,2.493,3.421,4.173,4.917,5.567,6.246
0.045,0.832,1.704,2.500,3.384,4.124,4.888,5.585,6.240
0.015,0.878,1.801,2.508,3.331,4.124,4.880,5.577,6.280
-0.009,0.861,1.658,2.462,3.358,4.087,4.887,5.538,6.195
0.027,0.880,1.779,2.419,3.251,4.126,4.829,5.570,6.234
-0.023,0.874,1.636,2.503,3.326,4.181,4.921,5.520,6.277
0.032,0.868,1.692,2.488,3.344,4.049,4.877,5.617,6.183
-0.001,0.824,1.687,2.530,3.337,4.100,4.853,5.567,6.265
-0.002,0.877,1.699,2.538,3.368,4.124,4.894,5.609,6.265
